square_feet,bedrooms,bathrooms,year_built,house_price
3377,2,2.0,1986,519700.0
2060,5,4.0,2011,503000.0
2829,5,3.0,1992,545900.0
3105,5,3.5,2013,602000.0
1669,4,2.0,2012,414900.0
3199,3,4.0,1981,546900.0
2972,2,2.5,2001,501700.0
2619,3,2.0,2012,489900.0
2721,3,2.5,1989,484600.0
3130,5,2.0,2001,570000.0
1756,4,1.5,2017,421100.0
3405,2,3.5,2010,569000.0
3214,5,1.5,1984,553900.0
2816,2,3.5,1993,493100.0
3454,3,2.5,1988,556900.0
2316,5,3.0,2007,509600.0
3385,5,2.5,1988,590000.0
1887,5,2.0,1991,435700.0
3134,4,1.5,2021,562900.0
3078,2,2.5,1990,501300.0
2473,2,2.5,1985,435800.0
1868,5,1.5,1997,432300.0
2417,5,3.0,2015,527700.0
1701,4,2.5,1990,403600.0
1883,2,2.5,1981,372800.0
3036,3,2.0,2001,520600.0
3430,2,3.5,1980,541500.0
1870,2,3.5,2019,424500.0
2055,4,4.0,1997,468500.0
2454,5,3.5,1994,517900.0
2907,4,2.5,1985,519200.0
1523,2,1.5,1984,324800.0
3223,3,2.5,2017,562800.0
1630,2,1.5,1981,332500.0
1877,5,1.5,2004,440200.0
1598,5,1.5,1999,407300.0
3098,5,2.0,1988,553800.0
2431,2,2.0,1985,424100.0
2234,5,1.5,1994,465900.0
1623,5,3.0,2008,441300.0
3487,5,3.5,1983,610200.0
2094,3,1.5,1980,397900.0
3466,2,3.5,1993,558100.0
2239,5,1.5,1999,471400.0
2672,4,3.5,1999,524700.0
1709,2,3.5,2010,399400.0
2062,2,3.5,1997,421700.0
2935,3,1.5,1984,486000.0
2282,2,3.0,2004,443200.0
2565,2,2.0,2003,455500.0
2582,4,3.0,2019,528200.0
2205,5,2.0,2019,495500.0
2560,5,2.0,2013,525000.0
2278,5,3.5,1981,487300.0
1586,3,2.5,1995,377100.0
2567,2,3.5,1983,458200.0
2372,3,3.0,2011,479200.0
1511,4,2.5,1981,375600.0
2270,3,3.0,2021,479000.0
1807,2,2.0,1987,363700.0
2604,2,2.0,2006,462400.0
1532,2,2.5,1990,346700.0
2706,5,4.0,2008,564600.0
2652,3,2.5,1995,483700.0
2306,2,3.0,2021,462600.0
1775,5,3.5,2009,465000.0
2698,3,2.5,2015,508300.0
3078,5,1.0,2001,549800.0
2895,4,1.5,2011,529000.0
2708,2,2.5,1989,463300.0
1944,3,2.5,2015,432900.0
1988,4,3.5,2001,458300.0
3113,3,2.0,2007,534300.0
1786,5,2.5,2015,457100.0
2804,2,2.0,2007,483400.0
2137,4,3.0,2003,467700.0
2270,5,2.0,1985,468000.0
3039,4,2.0,2018,557900.0
1594,2,2.5,1995,357900.0
2750,5,1.5,1996,519500.0
3399,5,2.0,2019,614900.0
2793,2,2.5,2018,500800.0
3404,3,3.0,1984,555400.0
1796,2,3.5,2009,407100.0
2852,2,2.0,1985,466200.0
2543,5,3.0,2020,545300.0
2107,3,2.0,2005,431700.0
3364,4,3.5,2014,608900.0
2934,5,2.0,1984,533400.0
1950,2,1.5,1997,380500.0
2772,4,3.5,2020,555700.0
1680,4,3.0,1987,406000.0
1823,2,1.0,1982,345300.0
2504,4,3.0,1986,487400.0
3353,3,2.5,1995,553800.0
3306,2,3.5,2016,565100.0
3388,5,2.5,2008,610300.0
2784,3,2.0,2012,506400.0
3487,2,2.0,2010,554700.0
2249,4,1.0,1999,444900.0
1639,3,3.5,2006,408400.0
2520,5,3.0,1992,515000.0
2098,3,2.5,1982,415300.0
2985,4,3.5,2003,560000.0
2389,4,1.0,1980,439900.0
3145,2,2.5,2008,526000.0
2343,2,1.5,1986,408800.0
2196,5,3.5,2008,506100.0
3052,5,3.5,1983,566700.0
2676,3,2.5,2001,492100.0
2425,4,1.5,2008,479000.0
1649,4,1.0,2004,389900.0
2634,5,1.5,2008,519900.0
1525,4,2.5,2015,411000.0
2988,3,2.0,1990,504800.0
2456,2,3.0,2007,463600.0
3413,3,2.0,2007,564300.0
2386,2,4.0,2018,482600.0
2641,3,1.5,2021,493600.0
2969,3,1.0,2019,516900.0
3119,2,3.5,1985,515400.0
2173,5,1.5,1998,463800.0
3396,4,1.0,1981,541600.0
2428,3,1.0,1987,430800.0
2752,4,3.0,1991,517200.0
3031,4,2.0,1983,522100.0
2263,2,2.0,1980,402300.0
1621,2,1.0,2010,353100.0
2850,3,2.5,1984,492500.0
1969,5,3.5,1986,461400.0
1787,4,3.5,1981,418200.0
2025,2,1.5,1999,390000.0
3363,4,2.5,1983,562800.0
3220,2,1.0,2019,522000.0
2676,5,2.5,1998,529100.0
2091,3,3.0,1990,430100.0
1541,2,3.5,2011,383600.0
1774,2,3.0,1991,379400.0
3076,4,2.5,1987,538100.0
2962,2,2.0,2014,506200.0
1707,3,3.0,2010,411700.0
2279,3,2.0,2006,449900.0
1666,4,3.0,1985,402600.0
1611,4,2.0,2000,397100.0
2873,3,1.5,2010,505800.0
2653,5,1.5,1996,509800.0
2235,3,4.0,2019,488500.0
3410,5,1.0,1988,570000.0
2312,2,1.0,2002,414200.0
1716,3,3.0,2001,403600.0
2905,5,2.0,2019,565500.0
1524,3,3.0,1996,379400.0
1567,2,2.0,1991,343700.0
2478,4,1.5,2010,486300.0
2507,5,2.5,1995,509200.0
3295,4,2.5,2006,579000.0
1734,3,2.0,1996,385400.0
3240,4,4.0,2008,598000.0
1791,3,2.0,1983,378100.0
3250,4,2.5,1998,566500.0
2522,2,3.5,1989,459700.0
2201,5,3.0,2005,496100.0
3233,4,3.0,1992,566300.0
2227,3,4.0,1993,461700.0
2055,4,1.5,1999,433000.0
1532,2,2.0,2009,358200.0
2535,3,1.0,1983,437500.0
3140,2,2.0,2005,515000.0
1712,4,2.5,1999,413700.0
2662,2,2.0,1994,456200.0
3218,4,1.0,2000,542800.0
2945,3,3.0,2002,527500.0
3161,5,3.0,2013,600100.0
3192,3,4.0,1989,554200.0
2123,3,2.0,1989,417300.0
3012,2,2.5,1983,487700.0
2270,3,2.5,2012,462500.0
3063,4,3.0,2020,577300.0
2741,3,1.5,2018,500600.0
2163,2,2.5,2002,421800.0
2321,3,2.5,2005,460600.0
1807,5,3.0,1989,440700.0
2698,4,2.0,1984,489800.0
2672,4,2.0,2010,513200.0
2449,3,2.5,2018,486400.0
3065,3,3.5,1991,536000.0
3103,4,1.5,1992,530800.0
2047,5,1.0,1996,441700.0
2307,3,2.5,2018,472200.0
2917,5,4.0,2014,591700.0
1573,2,2.0,2020,373300.0
1797,5,2.5,1998,441200.0
2419,3,2.5,2010,475400.0
3423,3,3.0,1990,563300.0
3338,5,1.0,2004,578800.0
2230,3,3.5,2005,466500.0
3470,5,2.0,2012,615000.0
2376,5,2.5,2020,521100.0
3295,2,1.0,2010,520500.0
3323,2,2.5,1992,527800.0
2277,5,1.5,1997,473200.0
2918,3,1.5,1985,485300.0
3063,3,4.0,2020,572300.0
1929,5,1.5,1990,431400.0
1699,3,3.5,2000,408400.0
2947,5,2.0,1999,549700.0
2585,4,3.0,1999,508500.0
1841,4,3.0,2013,448100.0
2365,4,2.5,2021,501000.0
2568,2,4.0,1990,472800.0
2302,5,3.5,1991,499700.0
3454,5,3.0,2006,622400.0
2612,4,1.5,2002,491700.0
1533,5,4.0,2001,440300.0
2145,3,1.5,2009,432000.0
1732,5,2.5,1997,433700.0
2267,2,3.5,2009,454200.0
1536,4,2.5,2006,403100.0
3292,2,1.0,2009,519200.0
2983,2,1.5,2010,496800.0
1790,5,1.0,1999,419000.0
1697,2,1.5,1990,348200.0
2394,2,3.0,1984,434400.0
3473,3,3.0,2000,578300.0
2778,2,2.5,2004,485300.0
2604,3,1.5,1999,467900.0
2970,4,2.5,1987,527500.0
1636,3,4.0,1981,390600.0
1689,3,2.0,1995,379900.0
1629,2,4.0,2013,401900.0
1709,5,2.0,2008,434900.0
2892,5,2.5,1991,543700.0
1791,5,4.0,2007,472100.0
2900,5,2.5,1996,549500.0
2871,4,2.0,1980,503100.0
1668,4,2.0,1999,401800.0
3408,2,2.5,1991,535300.0
2304,4,1.5,1991,449900.0
1676,2,2.0,1994,357600.0
3061,2,3.5,1998,522600.0
1823,2,3.5,1987,387800.0
3395,3,3.5,1986,564000.0
2008,2,3.5,1998,417300.0
2303,5,1.5,2016,494800.0
2638,5,4.0,2005,554800.0
3322,4,1.0,2011,564200.0
2553,2,3.5,2007,480800.0
3277,4,3.0,2018,596700.0
2813,4,2.5,1991,515800.0
1646,4,1.0,1991,376600.0
2797,4,1.5,1984,492200.0
1721,2,2.5,1994,369600.0
1840,5,3.0,1985,440000.0
2009,2,3.5,2015,434400.0
2014,2,2.5,2021,425900.0
1569,4,2.5,2016,416400.0
2881,2,2.5,2009,500600.0
2408,4,3.0,2020,511800.0
2056,5,3.5,1986,470100.0
2385,4,1.5,1995,462000.0
2265,5,1.5,1980,455000.0
2846,3,2.0,1996,496600.0
3147,5,3.0,1991,576700.0
1591,5,1.5,2015,422600.0
2865,4,2.0,1986,508500.0
1923,4,1.0,2007,420300.0
3075,2,3.0,1984,502500.0
3495,5,1.5,1999,597000.0
3186,3,1.5,1986,513100.0
2938,4,2.0,2001,530800.0
3181,4,3.5,1992,568600.0
2210,2,2.0,2001,418000.0
2467,3,3.0,2016,493700.0
1774,4,2.0,1984,397400.0
2360,2,2.0,1991,423000.0
1543,5,2.5,2006,423800.0
2607,5,4.0,1994,540700.0
1933,3,3.5,1989,420800.0
2309,3,2.0,1992,438900.0
1593,2,3.0,1980,350300.0
2698,4,3.0,1995,515800.0
2929,5,1.5,2003,544400.0
1701,4,1.5,1980,378600.0
3381,2,2.5,2020,561600.0
1998,5,1.5,1997,445300.0
1980,2,4.0,2009,433000.0
1829,2,2.0,2019,397900.0
3064,3,1.5,1998,512900.0
1709,4,4.0,1985,421900.0
2117,4,2.5,1995,450200.0
3478,3,4.0,1997,590800.0
3420,5,3.5,2006,626500.0
3099,4,4.0,2008,583900.0
2540,2,1.5,1995,437500.0
1606,4,3.5,2019,438100.0
1664,5,2.5,2012,441900.0
2106,3,4.0,2009,465600.0
3060,3,1.5,2003,517500.0
2128,3,3.0,1990,433800.0
2715,4,1.0,1998,490500.0
2719,5,3.0,1984,526900.0
2831,4,2.5,1997,523600.0
1636,3,2.5,1986,373100.0
2452,2,3.0,2007,463200.0
2359,2,2.5,1985,424400.0
2617,3,1.5,2008,478200.0
3415,3,3.5,2021,601000.0
2250,2,3.5,1989,432500.0
2611,5,1.5,1999,508600.0
1660,4,3.0,1987,404000.0
1647,4,3.5,1991,414200.0
2084,5,1.5,2011,467900.0
1955,4,1.5,2014,438000.0
2611,3,3.5,1993,492600.0
2537,2,4.0,1997,476700.0
2838,3,2.5,2010,517300.0
3117,2,4.0,1987,524700.0
2644,5,1.5,1993,505900.0
3408,4,2.0,2013,589800.0
2451,2,1.5,2010,443600.0
2332,3,3.0,1980,444200.0
2215,3,1.5,1995,425000.0
2232,4,3.5,2007,488700.0
2432,5,2.0,1991,490200.0
1781,2,1.5,1992,358600.0
2300,2,4.0,1983,439000.0
2950,3,3.5,1980,513500.0
3306,2,2.0,2018,544600.0
1970,3,3.0,2018,446000.0
2808,2,3.0,2008,499800.0
2800,5,3.0,2021,572000.0
2848,2,3.5,1984,487300.0
3058,4,1.0,1989,515800.0
2751,3,3.5,2019,532600.0
2390,5,4.0,1987,512000.0
2095,4,1.0,1984,414500.0
2147,4,2.0,1982,432700.0
3492,5,2.0,2020,625200.0
2073,4,3.5,2020,485800.0
2153,3,2.0,2001,432300.0
3041,3,3.0,2001,536100.0
1756,3,4.0,1982,403600.0
2660,5,3.5,1988,532500.0
2731,4,4.0,2000,539100.0
1963,2,1.0,2008,385300.0
3473,3,1.0,2007,555300.0
2663,4,1.0,2002,489300.0
2528,2,2.5,2016,472300.0
1923,5,2.5,2003,458800.0
1848,4,3.0,1993,428800.0
2441,5,3.5,2017,539600.0
2806,3,1.5,1986,475100.0
2086,4,2.5,1985,437100.0
3344,5,2.0,2021,611400.0
2506,2,2.0,2016,462600.0
2957,4,1.5,2006,530200.0
2743,5,2.5,1980,517800.0
2319,3,3.0,2017,479900.0
2239,2,1.5,2009,421400.0
2373,2,2.5,1981,421800.0
2286,4,2.0,2015,479600.0
2897,2,2.0,2016,501700.0
2814,5,1.5,2014,543900.0
3087,2,2.5,1988,500200.0
3194,2,1.0,1981,481400.0
1937,5,3.5,2004,476200.0
3350,4,4.0,2021,622000.0
3463,2,3.0,1998,555300.0
3347,4,3.0,1988,573700.0
3032,2,3.5,1988,509700.0
2520,3,1.5,1983,443500.0
2286,2,1.0,2020,429600.0
2441,4,2.0,2019,499100.0
2355,5,3.5,1980,494000.0
1949,5,1.5,2016,459400.0
2850,3,3.0,1993,509000.0
3014,3,2.5,2018,542900.0
2577,3,1.0,2019,477700.0
2316,5,2.5,1988,483100.0
2618,3,2.5,2021,506300.0
1559,3,3.0,1980,366900.0
1836,2,2.5,2017,404100.0
3190,5,2.0,2001,576000.0
3160,5,2.0,1995,567000.0
1663,5,1.0,1980,387300.0
3094,5,3.5,1992,579900.0
2445,5,1.0,1997,482500.0
2630,3,3.0,1984,478000.0
1701,3,3.5,1986,394600.0
2824,2,3.5,2018,518900.0
3305,2,3.5,2011,560000.0
2389,2,1.0,1998,417900.0
3362,5,2.5,2017,616700.0
2050,5,2.0,1982,443000.0
3203,2,1.5,1983,491800.0
3172,5,2.5,1983,563700.0
2537,2,2.0,1980,429700.0
2403,2,3.5,2017,475800.0
3244,4,1.0,1994,539400.0
2516,3,2.0,1981,448600.0
2034,2,2.0,2016,415400.0
2004,5,3.0,2010,481400.0
3371,2,3.5,1980,535600.0
3300,2,1.5,1994,512500.0
3263,4,2.5,2017,586800.0
3298,4,3.5,2008,596300.0
2733,2,2.0,1994,463300.0
2979,5,2.5,2009,570400.0
1968,2,1.5,1984,369300.0
2997,4,3.5,1982,540200.0
3486,2,2.5,2018,570100.0
3096,5,1.0,2005,555600.0
1900,3,1.5,1998,396500.0
2580,5,3.0,1988,517000.0
2382,5,3.0,2007,516200.0
3273,3,3.0,1982,540300.0
2163,5,1.5,1985,449800.0
1780,5,2.0,2017,451000.0
2528,3,2.5,1984,460300.0
2112,2,2.5,2020,434700.0
2504,4,1.0,2016,487400.0
1805,5,3.5,2006,465000.0
1843,5,2.0,1988,428300.0
3066,3,1.5,2003,518100.0
3090,4,2.5,1991,543500.0
1653,4,2.5,2005,413800.0
3312,3,1.5,1982,521700.0
2877,5,2.0,1991,534700.0
1857,3,3.5,1990,414200.0
2197,3,2.5,1998,441200.0
1907,5,1.5,1983,422200.0
2935,2,3.0,2000,504500.0
2553,2,4.0,2001,482300.0
2429,3,2.5,2006,472400.0
2895,2,1.5,1984,462000.0
3345,4,1.5,1996,559000.0
2131,4,4.0,2019,498100.0
2447,4,3.0,2010,505700.0
2354,2,1.5,2014,437900.0
2002,4,1.5,2020,448700.0
1507,5,1.5,2009,408200.0
2117,5,1.0,1982,434700.0
2509,2,1.0,2013,444900.0
1637,5,2.5,1999,426200.0
2194,5,3.5,1991,488900.0
3420,5,3.5,2020,640500.0
2351,3,4.0,1984,465100.0
2900,2,3.0,1984,485000.0
2432,3,1.5,2004,455700.0
3245,2,2.0,2006,526500.0
2672,2,3.5,1999,484700.0
3409,3,1.5,2015,564400.0
2508,3,2.0,2011,477800.0
2783,4,2.5,1990,511800.0
1626,2,2.5,1996,362100.0
3334,5,1.5,2003,584900.0
2077,4,4.0,1991,464700.0
3056,5,2.0,1987,548600.0
2304,5,3.5,2020,528900.0
2848,2,2.5,2014,502300.0
2476,2,3.5,2003,469100.0
1612,4,4.0,2012,439200.0
3467,4,1.5,2004,579200.0
2150,4,3.5,1998,471500.0
1737,3,2.0,2004,393700.0
2884,4,3.5,2009,555900.0
2490,2,3.0,1983,443000.0
3383,4,2.0,1983,557300.0
3079,3,3.5,2007,553400.0
1563,4,2.0,1985,377300.0
3451,2,3.5,1992,555600.0
3440,5,4.0,2004,634000.0
1954,4,2.5,1995,433900.0
2789,2,3.5,2012,509400.0
2968,4,1.5,1986,511300.0
2103,4,2.5,2007,460800.0
2123,3,4.0,1993,451300.0
2943,2,3.5,1986,498800.0
1839,4,2.0,1991,410900.0
3368,2,2.5,1990,530300.0
2798,2,4.0,1985,490800.0
2893,4,1.5,1993,510800.0
3366,4,1.5,1981,546100.0
1726,3,3.5,1984,395100.0
2749,3,4.0,1988,508900.0
3463,2,2.0,2020,562300.0
3167,4,1.5,1986,531200.0
2408,4,3.5,1990,489300.0
2752,4,3.5,2009,542700.0
3350,4,2.0,1981,552000.0
3421,3,3.0,2015,588100.0
1869,5,2.5,2001,451400.0
2652,4,3.0,2010,526200.0
2307,3,3.0,1991,452700.0
2548,2,3.5,2009,482300.0
2198,5,2.5,2006,489300.0
1792,4,2.5,2014,436700.0
1855,5,2.0,1981,422500.0
2337,2,4.0,2008,467700.0
1634,4,1.0,1981,365400.0
1503,4,2.5,1982,375800.0
2750,5,1.5,2006,529500.0
2389,4,2.5,2009,491400.0
2180,5,3.0,1986,475000.0
1944,3,2.0,1982,392400.0
2941,4,1.5,1997,519600.0
2808,2,3.5,2010,509300.0
2336,5,2.5,1993,490100.0
1526,4,3.0,1995,398600.0
2236,5,3.5,1983,485100.0
1748,2,3.0,1996,381800.0
1865,2,2.0,2014,396500.0
3471,3,3.0,1985,563100.0
2725,4,1.0,2019,512500.0
2961,3,4.0,2000,542100.0
1697,3,3.5,2008,416200.0
2429,3,2.5,1996,462400.0
3171,2,2.5,2002,522600.0
2137,2,2.0,1989,398700.0
2106,3,2.5,2017,451100.0
1572,3,2.5,1988,368700.0
1746,4,1.0,1987,382600.0
2352,3,3.5,2013,486700.0
2659,5,3.0,2011,547900.0
3231,3,1.0,2006,530100.0
1713,3,1.5,2021,400800.0
2999,3,3.5,2004,542400.0
3144,5,2.5,2003,580900.0
2847,4,3.5,1992,535200.0
1602,4,3.5,1999,417700.0
3376,2,3.0,1991,539600.0
1827,3,2.5,1987,393200.0
2095,5,3.0,2005,485500.0
2747,5,3.5,2007,560200.0
1756,3,2.5,2016,415100.0
3169,5,2.5,2008,588400.0
2871,2,2.5,2009,499600.0
2631,5,2.5,2019,545600.0
2426,2,1.5,2003,434100.0
3493,4,3.5,1995,602800.0
3043,3,1.5,2008,520800.0
2673,4,1.5,1997,492800.0
3000,2,2.0,2008,504000.0
2916,2,2.5,1999,494100.0
3207,4,1.5,2003,552200.0
3082,5,2.5,1986,557700.0
1500,2,3.0,1981,342000.0
2884,2,1.5,2003,479900.0
2191,2,1.5,1993,400600.0
3074,5,1.0,1996,544400.0
2613,5,2.0,1995,512300.0
2598,2,1.0,2012,452800.0
1999,4,2.5,2012,455400.0
2238,4,4.0,2007,496800.0
2135,2,2.0,1994,403500.0
1843,2,3.5,2010,412800.0
2620,4,1.5,2002,492500.0
2351,3,1.5,1994,437600.0
1782,3,1.5,2005,391700.0
2218,3,3.5,2009,469300.0
1532,3,3.5,1983,374700.0
2639,5,3.0,1994,528900.0
1954,2,3.0,1998,404400.0
3389,2,3.5,2003,560400.0
1928,4,2.0,2018,446800.0
2327,4,2.5,2009,485200.0
3349,3,1.5,1986,529400.0
2190,5,1.5,1982,449500.0
1673,4,2.0,1995,398300.0
3269,4,3.0,2017,594900.0
2656,4,2.0,1982,483600.0
2965,3,3.0,2009,536500.0
1593,4,1.5,2006,393800.0
2871,5,3.5,2014,579600.0
2925,5,1.5,1984,525000.0
1919,5,1.0,1992,424900.0
3230,5,1.0,1994,558000.0
1904,2,3.0,2002,403400.0
2441,4,1.5,2015,487600.0
2709,5,2.5,1989,523400.0
2475,4,2.5,1995,486000.0
1875,5,3.5,2013,479000.0
3200,4,2.0,1988,544000.0
3397,3,2.0,1992,547700.0
2202,2,3.0,1994,425200.0
3040,2,1.0,1988,473000.0
1997,5,2.5,2021,484200.0
3022,4,2.5,1982,527700.0
2729,4,3.0,2010,533900.0
2938,4,1.5,2013,535300.0
2889,4,2.5,1983,515400.0
3379,4,1.5,2002,568400.0
2238,4,2.5,1985,452300.0
1919,3,2.0,1994,401900.0
2085,4,3.0,2019,478500.0
2742,3,3.5,2002,514700.0
3475,5,4.0,1991,624500.0
3062,4,2.5,1997,546700.0
2898,5,2.5,1983,536300.0
2546,2,2.0,2000,450600.0
1960,5,3.0,2009,476000.0
2219,3,3.5,2014,474400.0
2878,2,1.5,2015,491300.0
3126,2,1.5,2018,519100.0
2575,3,2.5,1989,470000.0
2498,5,3.5,1988,516300.0
3338,4,3.5,2005,597300.0
3244,5,2.5,1990,577900.0
3097,5,1.0,2008,558700.0
2968,2,3.0,2002,509800.0
2315,2,1.0,2018,430500.0
1604,4,2.5,1987,390900.0
2140,2,3.5,1986,418500.0
2918,2,2.0,2001,488800.0
3495,2,1.0,2001,531500.0
3433,5,1.5,2013,604800.0
1827,5,2.0,1986,424700.0
2106,2,2.0,2006,412600.0
3042,2,1.0,2002,487200.0
3209,5,1.0,1986,547900.0
2769,4,2.0,1998,510900.0
2938,3,4.0,1985,524800.0
3051,3,2.5,1997,525600.0
1669,5,2.5,1994,424400.0
1666,2,3.5,1988,373100.0
2833,5,3.0,2006,560300.0
2439,2,3.0,1999,453900.0
2094,2,1.0,2013,403400.0
2915,2,4.0,2004,521500.0
2744,3,4.0,1987,507400.0
2333,5,2.5,1988,484800.0
3205,2,2.5,2007,531000.0
2334,5,4.0,2016,535400.0
2638,5,2.0,1996,515800.0
2360,3,1.5,2021,465500.0
1834,3,3.5,2017,438900.0
2241,4,1.5,2018,470600.0
2743,2,2.0,1989,459300.0
2770,2,2.0,1992,465000.0
1600,3,3.5,2003,401500.0
1915,5,3.5,1983,453000.0
1721,3,1.0,2001,374100.0
2702,5,2.0,1993,519200.0
3032,3,2.0,2008,527200.0
1674,3,2.5,2016,406900.0
2105,2,3.5,2012,441000.0
3150,3,2.5,2012,550500.0
3197,5,3.0,2017,607700.0
2280,2,4.0,1983,437000.0
3260,5,4.0,2018,630000.0
3269,5,3.0,1988,585900.0
2348,2,2.0,1993,423800.0
2590,3,2.5,2006,488500.0
2980,4,3.5,2020,576500.0
2511,5,3.0,2007,529100.0
1625,2,1.5,2012,363000.0
2662,2,1.0,1988,435200.0
2124,4,4.0,1980,458400.0
2230,3,1.0,2017,441000.0
2679,2,3.0,2001,479900.0
2196,5,1.5,2001,469100.0
2644,5,3.0,2014,549400.0
1821,4,2.0,1983,401100.0
1948,4,2.5,2021,459300.0
2209,2,3.5,2013,452400.0
3380,3,3.5,1985,561500.0
2814,2,1.5,1989,458900.0
3499,3,3.5,1982,570400.0
1503,5,2.5,2008,421800.0
2200,5,2.5,2004,487500.0
2762,2,2.5,1980,459700.0
3201,4,2.5,1995,558600.0
2695,5,3.5,1993,541000.0
3247,3,2.5,1983,531200.0
2356,3,3.5,1983,457100.0
3106,4,3.5,1996,565100.0
3184,2,4.0,1992,536400.0
2402,4,2.0,2003,479200.0
3320,3,2.5,2008,563500.0
2127,3,1.5,2020,441200.0
2402,2,3.0,2008,459200.0
2334,5,2.0,1988,477400.0
2104,4,2.5,1997,450900.0
3138,5,2.5,1993,570300.0
2369,2,2.5,1984,424400.0
2903,2,3.5,1992,500800.0
3233,2,1.5,1993,504800.0
2633,2,2.0,1994,453300.0
2853,3,3.5,2014,537800.0
1600,4,1.5,1991,379500.0
2194,3,1.5,2015,442900.0
2345,2,1.5,1984,407000.0
3441,2,2.5,1985,532600.0
3031,5,3.0,2005,579100.0
2171,3,2.5,1980,420600.0
3117,4,2.0,1989,536700.0
2559,4,2.5,2003,502400.0
1737,2,3.5,1981,373200.0
2767,5,1.5,1995,520200.0
1750,3,2.0,1980,371000.0
1892,5,2.0,1993,438200.0
